KAMARU USMAN
Israel Adesanya
Alexander Volkanovski
Francis Ngannou
Charles Oliveira
Max Holloway
Jon Jones
Dustin Poirier
Petr Yan
Glover Teixeira
Deiveson Figueiredo
Stipe Miocic
Brandon Moreno
Robert Whittaker
Jan Blachowicz
DEIVESON FIGUEIREDO
Brandon Moreno
Askar Askarov
Alexandre Pantoja
Alex Perez
Brandon Royval
Kai Kara France
Rogerio Bontorin
Matheus Nicolau
Matt Schnell
David Dvorak
Tim Elliott
Sumudaerji
Amir Albazi
Manel Kape
Tagir Ulanbekov
ALJAMAIN STERLING
Petr Yan
TJ Dillashaw
José Aldo
Cory Sandhagen
Rob Font
Merab Dvalishvili
Dominick Cruz
Marlon Vera
Pedro Munhoz
Marlon Moraes
Frankie Edgar
Sean O'Malley
Ricky Simon
Song Yadong
Raphael Assuncao
ALEXANDER VOLKANOVSKI
Max Holloway
Brian Ortega
Yair Rodriguez
Chan Sung Jung
Calvin Kattar
Josh Emmett
Arnold Allen
Giga Chikadze
Bryce Mitchell
Dan Ige
Edson Barboza
Sodiq Yusuff
Movsar Evloev
Shane Burgos
Alex Caceres

Justin Gaethje
Dustin Poirier
Islam Makhachev
Beneil Dariush
Michael Chandler
Rafael Dos Anjos
Tony Ferguson
Dan Hooker
Gregor Gillespie
Conor McGregor
Rafael Fiziev
Arman Tsarukyan
Mateusz Gamrot
Brad Riddell
Diego Ferreira

Colby Covington
Gilbert Burns
Leon Edwards
Vicente Luque
Belal Muhammad
Stephen Thompson
Jorge Masvidal
Sean Brady
Neil Magny
Michael Chiesa
Khamzat Chimaev
Geoff Neal
Li Jingliang
Santiago Ponzinibbio
Shavkat Rakhmonov

Robert Whittaker
Jared Cannonier
Marvin Vettori
Derek Brunson
Sean Strickland
Paulo Costa
Jack Hermansson
Darren Till
Uriah Hall
Kelvin Gastelum
Nassourdine Imavov
Brad Tavares
Andre Muniz
Chris Weidman
Edmen Shahbazyan

Jan Blachowicz
Jiri Prochazka
Aleksandar Rakic
Anthony Smith
Thiago Santos
Magomed Ankalaev
Dominick Reyes
Volkan Oezdemir
Nikita Krylov
Jamahal Hill
Paul Craig
Johnny Walker
Ryan Spann
Jimmy Crute
Dustin Jacoby

Ciryl Gane
Stipe Miocic
Tai Tuivasa
Curtis Blaydes
Derrick Lewis
Alexander Volkov
Jairzinho Rozenstruik
Chris Daukaus
Marcin Tybura
Shamil Abdurakhimov
Tom Aspinall
Augusto Sakai
Walt Harris
Blagoy Ivanov
Serghei Spivac

Amanda Nunes
Rose Namajunas
Julianna Peña
Zhang Weili
Jessica Andrade
Holly Holm
Carla Esparza
Marina Rodriguez
Katlyn Chookagian
Yan Xiaonan
Irene Aldana
Lauren Murphy
Mackenzie Dern
Aspen Ladd

Zhang Weili
Carla Esparza
Marina Rodriguez
Yan Xiaonan
Mackenzie Dern
Nina Nunes
Tecia Torres
Michelle Waterson
Amanda Ribas
Amanda Lemos
Virna Jandiroba
Angela Hill
Jessica Penne
Brianna Fortino
Luana Pinheiro

Jessica Andrade
Katlyn Chookagian
Lauren Murphy
Jennifer Maia
Taila Santos
Viviane Araujo
Joanne Wood
Andrea Lee
Jessica Eye
Cynthia Calvillo
Alexa Grasso
Casey O'Neill
Manon Fiorot
Maycee Barber
Erin Blanchfield

Amanda Nunes
Holly Holm
Irene Aldana
Aspen Ladd
Ketlen Vieira
Yana Kunitskaya
Raquel Pennington
Miesha Tate
Sara McMann
Macy Chiasson
Lina Lansberg
Karol Rosa
Pannie Kianzad
Julia Avila
Norma Dumont
